[2026-01-09T17:32:25.796Z] Trades Request - User: bc233390-0e10-41b5-bdb6-2af66edd6af8, Account: 19e13475-0461-4cb9-a101-18ec4f5b2269, Filter: closed
[2026-01-09T17:32:34.363Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:32:35.064Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:34:46.904Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:34:48.005Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T19:07:42.032Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T19:07:43.276Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T19:08:22.465Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: all
[2026-01-09T19:08:27.950Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 4674d115-fd35-48b2-ba24-a47ff6b08e38, Filter: all
[2026-01-09T19:08:37.972Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 54eaafb2-42f5-45c9-a036-97a4a0737e00, Filter: all
[2026-01-09T19:08:45.973Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 73f3df47-db9d-4b0f-b792-c7b463b1b655, Filter: all
[2026-01-09T19:16:41.164Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
